"","input","filtered","nonchim","filter.loss"
"AFI1673_filt.fastq.gz",22383,19313,19260,0.137157664298798
"AFI1674_filt.fastq.gz",11966,9712,9712,0.188367039946515
"AFI1675_filt.fastq.gz",39526,35397,35201,0.104462885189496
"AFI1676_filt.fastq.gz",14316,12734,12601,0.110505727856943
"AFI1677_filt.fastq.gz",52630,47925,47925,0.0893976819304579
"AFI1678_filt.fastq.gz",16364,13751,13751,0.159679784893669
"AFI1679_filt.fastq.gz",68834,64590,63593,0.0616555771856931
"AFI1680_filt.fastq.gz",96159,89218,88747,0.0721825310163375
"AFI1681_filt.fastq.gz",6595,5199,4954,0.211675511751327
"AFI1682_filt.fastq.gz",45558,41401,40947,0.0912463233680144
"AFI1683_filt.fastq.gz",46713,42366,42289,0.0930576070901034
"AFI1684_filt.fastq.gz",16915,14574,14574,0.138397871711499
"AFI1685_filt.fastq.gz",59027,53492,52499,0.0937706473308825
"AFI1686_filt.fastq.gz",65946,59565,59416,0.0967609862614867
"AFI1687_filt.fastq.gz",24376,22465,22465,0.0783967837216935
"AFI1688_filt.fastq.gz",39945,37077,36966,0.0717987232444611
"AFI1689_filt.fastq.gz",39527,37783,37783,0.0441217395704202
"AFI1690_filt.fastq.gz",23159,20805,20805,0.101645148754264
"AFI1691_filt.fastq.gz",23926,21041,21041,0.120580122042966
"AFI1692_filt.fastq.gz",36080,32488,32206,0.0995565410199557
"AFI1693_filt.fastq.gz",43531,39282,39282,0.0976086007672693
"AFI1694_filt.fastq.gz",955,743,743,0.221989528795812
"AFI1695_filt.fastq.gz",2966,2398,2398,0.191503708698584
"AFI1696_filt.fastq.gz",1188,1003,1003,0.155723905723906
"AFI1697_filt.fastq.gz",4424,3603,3603,0.185578661844485
"AFI1698_filt.fastq.gz",3143,2735,2735,0.129812281259943
"AFI1699_filt.fastq.gz",1817,1619,1619,0.108970831040176
"AFI1700_filt.fastq.gz",3060,2775,2775,0.0931372549019608
"AFI1701_filt.fastq.gz",5538,4942,4942,0.107620079451065
"AFI1702_filt.fastq.gz",5841,5186,5186,0.112138332477316
"AFI1703_filt.fastq.gz",2755,2277,2277,0.173502722323049
"AFI1704_filt.fastq.gz",1558,1154,1154,0.259306803594352
"AFI1705_filt.fastq.gz",1216,902,902,0.258223684210526
"AFI1706_filt.fastq.gz",11125,9687,9424,0.129258426966292
"AFI1707_filt.fastq.gz",9063,7913,7913,0.126889550921328
"AFI1708_filt.fastq.gz",6602,5695,5695,0.1373826113299
"AFI1709_filt.fastq.gz",9566,8386,8386,0.123353543800962
"AFI1710_filt.fastq.gz",18821,16430,16224,0.12703894585835
"AFI1711_filt.fastq.gz",25587,22335,22167,0.127095790831282
"AFI1712_filt.fastq.gz",2628,2320,2320,0.117199391171994
"AFI1713_filt.fastq.gz",18744,16209,16209,0.135243277848912
"AFI1714_filt.fastq.gz",8730,7598,7598,0.129667812142039
"AFI1715_filt.fastq.gz",9597,8431,8431,0.121496300927373
"AFI1716_filt.fastq.gz",6242,5526,5526,0.114706824735662
"AFI1717_filt.fastq.gz",19258,17228,17228,0.105410738394433
