ID,Location,Country,Sp,Source,Lat,Lon,input,filtered,nonchim,filter.loss
EA_PD_Ro_01,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,18965,16551,16551,0.1272871078
EA_PD_Ro_02,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,103662,93738,91626,0.0957342131
EA_PD_Ro_03,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,30462,29558,29558,0.029676318
EA_PD_Ro_04,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,4338,3752,3752,0.1350852928
EA_PD_Ro_05,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,4230,3615,3615,0.1453900709
EA_PD_Ro_06,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,17941,16297,16297,0.0916336882
EA_PD_Ro_07,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,9999,8865,8865,0.1134113411
EA_PD_Ro_08,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,68496,61423,60778,0.1032615043
EA_PD_Ro_09,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,8236,7547,7547,0.0836571151
EA_PD_Ro_10,Port Dickson,West Malaysia,Enhalus acoroides,Root,2.408228,101.85873,15046,13206,13206,0.122291639
EA_PD_Soil_01,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,31611,27477,27475,0.1307772611
EA_PD_Soil_02,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,43540,38761,38715,0.1097611392
EA_PD_Soil_03,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,22463,20027,20027,0.1084449984
EA_PD_Soil_04,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,25961,23062,22976,0.1116675013
EA_PD_Soil_05,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,49957,45965,45933,0.0799087215
EA_PD_Soil_06,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,45401,40410,40348,0.1099314993
EA_PD_Soil_07,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,21652,18705,18705,0.1361075189
EA_PD_Soil_08,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,33394,29488,29435,0.1169671198
EA_PD_Soil_09,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,34929,31898,31697,0.0867760314
EA_PD_Soil_10,Port Dickson,West Malaysia,Enhalus acoroides,Soil,2.408228,101.85873,19235,16645,16645,0.1346503769
EA_MS_Le_01,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,2.408228,101.85873,10490,9045,8976,0.1377502383
EA_MS_Le_02,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,30865,28809,28574,0.0666126681
EA_MS_Le_03,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,37719,32998,32998,0.125162385
EA_MS_Le_04,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,5296,4776,4776,0.0981873112
EA_MS_Le_05,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,15702,13706,13706,0.1271175646
EA_MS_Le_06,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,6401,5475,5475,0.1446648961
EA_MS_Le_07,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,13265,11538,11538,0.1301922352
EA_MS_Le_08,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,9903,8610,8610,0.130566495
EA_MS_Le_09,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,33446,30489,30076,0.0884111702
EA_MS_Le_10,Merambong Shoal,West Malaysia,Enhalus acoroides,Leaf,1.331803,103.604591,41405,38633,38277,0.0669484362
EA_MS_Rh_01,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,17736,15297,15297,0.1375169147
EA_MS_Rh_02,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,29380,25472,25339,0.1330156569
EA_MS_Rh_03,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,30342,25684,25630,0.1535165777
EA_MS_Rh_04,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,14347,12062,12062,0.1592667457
EA_MS_Rh_05,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,39100,33610,33610,0.1404092072
EA_MS_Rh_06,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,14205,11825,11825,0.1675466385
EA_MS_Rh_07,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,15044,12777,12777,0.1506913055
EA_MS_Rh_08,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,34749,30574,30574,0.1201473424
EA_MS_Rh_09,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,10592,9100,9100,0.1408610272
EA_MS_Rh_10,Merambong Shoal,West Malaysia,Enhalus acoroides,Rhizome,1.331803,103.604591,11148,9357,9357,0.16065662
EA_MS_Ro_01,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,22383,19313,19260,0.1371576643
EA_MS_Ro_02,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,11966,9712,9712,0.1883670399
EA_MS_Ro_03,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,39526,35397,35201,0.1044628852
EA_MS_Ro_04,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,14316,12734,12601,0.1105057279
EA_MS_Ro_05,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,52630,47925,47925,0.0893976819
EA_MS_Ro_06,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,16364,13751,13751,0.1596797849
EA_MS_Ro_07,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,68834,64590,63593,0.0616555772
EA_MS_Ro_08,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,96159,89218,88747,0.072182531
EA_MS_Ro_09,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,45558,41401,40947,0.0912463234
EA_MS_Ro_10,Merambong Shoal,West Malaysia,Enhalus acoroides,Root,1.331803,103.604591,46713,42366,42289,0.0930576071
EA_MS_Soil_01,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,16915,14574,14574,0.1383978717
EA_MS_Soil_02,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,59027,53492,52499,0.0937706473
EA_MS_Soil_03,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,65946,59565,59416,0.0967609863
EA_MS_Soil_04,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,24376,22465,22465,0.0783967837
EA_MS_Soil_05,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,39945,37077,36966,0.0717987232
EA_MS_Soil_06,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,39527,37783,37783,0.0441217396
EA_MS_Soil_07,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,23159,20805,20805,0.1016451488
EA_MS_Soil_08,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,23926,21041,21041,0.120580122
EA_MS_Soil_09,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,36080,32488,32206,0.099556541
EA_MS_Soil_10,Merambong Shoal,West Malaysia,Enhalus acoroides,Soil,1.331803,103.604591,43531,39282,39282,0.0976086008
EA_Sem_Le_01,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,955,743,743,0.2219895288
EA_Sem_Le_02,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,2966,2398,2398,0.1915037087
EA_Sem_Le_03,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,1188,1003,1003,0.1557239057
EA_Sem_Le_04,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,4424,3603,3603,0.1855786618
EA_Sem_Le_05,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,3143,2735,2735,0.1298122813
EA_Sem_Le_06,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,1817,1619,1619,0.108970831
EA_Sem_Le_07,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,3060,2775,2775,0.0931372549
EA_Sem_Le_08,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,5538,4942,4942,0.1076200795
EA_Sem_Le_09,Semakau,Singapore,Enhalus acoroides,Leaf,1.208273,103.756254,5841,5186,5186,0.1121383325
